"Date","Amount_Theft"
"2003-03-16",212
"2003-03-17",257
"2003-03-18",243
"2003-03-19",258
"2003-03-20",270
"2003-03-21",239
"2003-03-22",204
"2003-03-23",223
"2003-03-24",268
"2003-03-25",263
"2003-03-26",262
"2003-03-27",231
"2003-03-28",270
"2003-03-29",228
"2003-03-30",193
"2003-03-31",270
"2003-04-01",359
"2003-04-02",250
"2003-04-03",242
"2003-04-04",262
"2003-04-05",259
"2003-04-06",226
"2003-04-07",252
"2003-04-08",261
"2003-04-09",275
"2003-04-10",269
"2003-04-11",266
"2003-04-12",255
"2003-04-13",214
"2003-04-14",283
"2003-04-15",312
"2003-04-16",255
"2003-04-17",236
"2003-04-18",270
"2003-04-19",232
"2003-04-20",230
"2003-04-21",229
"2003-04-22",271
"2003-04-23",291
"2003-04-24",240
"2003-04-25",286
"2003-04-26",252
"2003-04-27",194
"2003-04-28",274
"2003-04-29",255
"2003-04-30",294
"2003-05-01",334
"2003-05-02",271
"2003-05-03",224
"2003-05-04",217
"2003-05-05",276
"2003-05-06",286
"2003-05-07",293
"2003-05-08",246
"2003-05-09",269
"2003-05-10",229
"2003-05-11",211
"2003-05-12",250
"2003-05-13",249
"2003-05-14",242
"2003-05-15",296
"2003-05-16",270
"2003-05-17",253
"2003-05-18",217
"2003-05-19",291
"2003-05-20",289
"2003-05-21",293
"2003-05-22",252
"2003-05-23",289
"2003-05-24",260
"2003-05-25",225
"2003-05-26",212
"2003-05-27",296
"2003-05-28",263
"2003-05-29",277
"2003-05-30",276
"2003-05-31",246
"2003-06-01",342
"2003-06-02",266
"2003-06-03",291
"2003-06-04",253
"2003-06-05",253
"2003-06-06",298
"2003-06-07",267
"2003-06-08",216
"2003-06-09",272
"2003-06-10",285
"2003-06-11",261
"2003-06-12",251
"2003-06-13",268
"2003-06-14",262
"2003-06-15",254
"2003-06-16",262
"2003-06-17",258
"2003-06-18",264
"2003-06-19",286
"2003-06-20",322
"2003-06-21",264
"2003-06-22",228
"2003-06-23",291
"2003-06-24",301
"2003-06-25",293
"2003-06-26",258
"2003-06-27",286
"2003-06-28",294
"2003-06-29",263
"2003-06-30",290
"2003-07-01",370
"2003-07-02",285
"2003-07-03",312
"2003-07-04",217
"2003-07-05",278
"2003-07-06",242
"2003-07-07",315
"2003-07-08",278
"2003-07-09",304
"2003-07-10",305
"2003-07-11",331
"2003-07-12",310
"2003-07-13",266
"2003-07-14",378
"2003-07-15",361
"2003-07-16",370
"2003-07-17",365
"2003-07-18",367
"2003-07-19",331
"2003-07-20",318
"2003-07-21",371
"2003-07-22",319
"2003-07-23",342
"2003-07-24",347
"2003-07-25",329
